year,city,country,avg_temp
1796,Hyderabad,India,26.53
1797,Hyderabad,India,27.48
1798,Hyderabad,India,26.20
1799,Hyderabad,India,26.84
1800,Hyderabad,India,26.88
1801,Hyderabad,India,26.05
1802,Hyderabad,India,27.44
1803,Hyderabad,India,27.22
1804,Hyderabad,India,27.65
1805,Hyderabad,India,27.02
1806,Hyderabad,India,26.89
1807,Hyderabad,India,26.15
1808,Hyderabad,India,
1809,Hyderabad,India,
1810,Hyderabad,India,
1811,Hyderabad,India,
1812,Hyderabad,India,
1813,Hyderabad,India,26.25
1814,Hyderabad,India,25.65
1815,Hyderabad,India,25.80
1816,Hyderabad,India,25.38
1817,Hyderabad,India,25.61
1818,Hyderabad,India,25.83
1819,Hyderabad,India,25.78
1820,Hyderabad,India,25.88
1821,Hyderabad,India,26.45
1822,Hyderabad,India,26.43
1823,Hyderabad,India,26.65
1824,Hyderabad,India,27.10
1825,Hyderabad,India,26.72
1826,Hyderabad,India,26.89
1827,Hyderabad,India,26.73
1828,Hyderabad,India,26.63
1829,Hyderabad,India,26.47
1830,Hyderabad,India,26.45
1831,Hyderabad,India,26.41
1832,Hyderabad,India,26.63
1833,Hyderabad,India,26.50
1834,Hyderabad,India,26.56
1835,Hyderabad,India,25.80
1836,Hyderabad,India,26.19
1837,Hyderabad,India,26.24
1838,Hyderabad,India,26.33
1839,Hyderabad,India,26.34
1840,Hyderabad,India,26.44
1841,Hyderabad,India,26.12
1842,Hyderabad,India,26.27
1843,Hyderabad,India,26.01
1844,Hyderabad,India,26.08
1845,Hyderabad,India,26.39
1846,Hyderabad,India,26.82
1847,Hyderabad,India,26.31
1848,Hyderabad,India,26.32
1849,Hyderabad,India,26.26
1850,Hyderabad,India,26.47
1851,Hyderabad,India,26.45
1852,Hyderabad,India,26.40
1853,Hyderabad,India,26.70
1854,Hyderabad,India,26.79
1855,Hyderabad,India,26.81
1856,Hyderabad,India,26.24
1857,Hyderabad,India,25.82
1858,Hyderabad,India,26.60
1859,Hyderabad,India,26.60
1860,Hyderabad,India,26.41
1861,Hyderabad,India,26.26
1862,Hyderabad,India,24.38
1863,Hyderabad,India,
1864,Hyderabad,India,
1865,Hyderabad,India,26.96
1866,Hyderabad,India,26.97
1867,Hyderabad,India,26.91
1868,Hyderabad,India,26.80
1869,Hyderabad,India,26.78
1870,Hyderabad,India,26.45
1871,Hyderabad,India,26.59
1872,Hyderabad,India,26.54
1873,Hyderabad,India,26.60
1874,Hyderabad,India,26.57
1875,Hyderabad,India,26.60
1876,Hyderabad,India,26.90
1877,Hyderabad,India,27.22
1878,Hyderabad,India,27.34
1879,Hyderabad,India,26.29
1880,Hyderabad,India,26.71
1881,Hyderabad,India,26.61
1882,Hyderabad,India,26.52
1883,Hyderabad,India,26.28
1884,Hyderabad,India,26.18
1885,Hyderabad,India,26.53
1886,Hyderabad,India,26.51
1887,Hyderabad,India,26.28
1888,Hyderabad,India,26.81
1889,Hyderabad,India,26.89
1890,Hyderabad,India,26.69
1891,Hyderabad,India,27.00
1892,Hyderabad,India,26.79
1893,Hyderabad,India,25.90
1894,Hyderabad,India,26.75
1895,Hyderabad,India,26.63
1896,Hyderabad,India,27.44
1897,Hyderabad,India,27.60
1898,Hyderabad,India,26.89
1899,Hyderabad,India,27.19
1900,Hyderabad,India,27.65
1901,Hyderabad,India,27.01
1902,Hyderabad,India,27.38
1903,Hyderabad,India,26.73
1904,Hyderabad,India,26.68
1905,Hyderabad,India,26.92
1906,Hyderabad,India,27.10
1907,Hyderabad,India,26.67
1908,Hyderabad,India,26.65
1909,Hyderabad,India,26.77
1910,Hyderabad,India,26.61
1911,Hyderabad,India,27.03
1912,Hyderabad,India,27.15
1913,Hyderabad,India,27.03
1914,Hyderabad,India,26.75
1915,Hyderabad,India,27.01
1916,Hyderabad,India,26.66
1917,Hyderabad,India,25.93
1918,Hyderabad,India,26.76
1919,Hyderabad,India,27.05
1920,Hyderabad,India,27.24
1921,Hyderabad,India,26.94
1922,Hyderabad,India,26.85
1923,Hyderabad,India,26.93
1924,Hyderabad,India,27.13
1925,Hyderabad,India,26.56
1926,Hyderabad,India,27.13
1927,Hyderabad,India,27.25
1928,Hyderabad,India,27.19
1929,Hyderabad,India,27.20
1930,Hyderabad,India,27.03
1931,Hyderabad,India,27.11
1932,Hyderabad,India,26.66
1933,Hyderabad,India,26.36
1934,Hyderabad,India,26.72
1935,Hyderabad,India,26.98
1936,Hyderabad,India,27.09
1937,Hyderabad,India,26.85
1938,Hyderabad,India,26.68
1939,Hyderabad,India,26.85
1940,Hyderabad,India,26.72
1941,Hyderabad,India,27.74
1942,Hyderabad,India,27.19
1943,Hyderabad,India,26.53
1944,Hyderabad,India,26.85
